id;judulgame;genre;platform;tanggal;publisher;bahasa;sinopsis
13;Helldivers 2;Action, Shooter;PS5, PC;8 Februari 2024;Arrowhead Game Studios;Inggris, Mandarin Sederhana, Korea, Jepang, Mandarin Tradisional;Game penembak kooperatif multipemain yang menekankan kerja sama tim dan pembaruan rutin.
14;Silent Hill 2;Horor, Adventure;PS5;2024;Konami;Inggris, Jepang;Remake dari game horor klasik dengan grafis yang lebih baik serta teka-teki dan akhir cerita yang baru.
15;Forspoken;Action, RPG;PS5;17 Desember 2024;Square Enix;Inggris, Jepang;Mengisahkan perjalanan Frey, seorang gadis dari New York yang terjebak di dunia magis bernama Athia.
16;Sonic Frontiers;Adventure, Platformer;PS4, PS5;17 Desember 2024;SEGA;Inggris, Jepang;Membawa Sonic ke lima pulau besar dalam dunia terbuka, menawarkan pengalaman baru dengan tantangan klasik khas Sonic.
17;Star Wars: Tales from the Galaxy’s Edge;Adventure, VR;PS VR2;17 Desember 2024;ILMxLAB;Inggris;Pengalaman imersif di dunia Star Wars, memungkinkan pemain berperan sebagai Jedi dan pemburu hadiah.
18;A Space for the Unbound;Adventure;PS4, PS5;17 Desember 2024;Toge Productions;Indonesia, Inggris;Game petualangan emosional berlatar Indonesia, mengeksplorasi tema remaja dan unsur supranatural.
19;Coffee Talk;Simulation, Visual Novel;PS4, PS5;17 Desember 2024;Toge Productions;Inggris;Nikmati obrolan santai sambil menyajikan kopi dalam game novel visual yang menenangkan.
20;Jurassic World Evolution 2;Simulation, Strategy;PS4, PS5;17 Desember 2024;Frontier Developments;Inggris;Bangun taman dinosaurus impianmu dengan berbagai spesies dan tantangan manajemen.
21;Split Fiction;Action, Adventure;PS5;2025;Belum Diketahui;Inggris;Game aksi-petualangan yang membawa pemain ke dunia fiksi unik dengan cerita bercabang. Pemain akan menjelajahi berbagai realitas, memecahkan misteri, dan menghadapi pertarungan dinamis dengan mekanisme yang inovatif.
22;Monster Hunter Wilds;Action, RPG;PS5;28 Februari 2025;Capcom;Inggris, Jepang;Game berburu monster terbaru dari seri Monster Hunter. Pemain akan menjelajahi dunia luas yang penuh dengan ekosistem dinamis, menghadapi monster raksasa dengan berbagai strategi, serta menggunakan senjata dan perlengkapan yang bisa dikembangkan.
23;WWE 2K25;Sports, Wrestling;PS5;2025;2K Sports;Inggris;Game gulat profesional terbaru yang menghadirkan daftar pegulat terkini dari WWE. Pemain bisa membuat karakter sendiri, bertanding dalam berbagai mode permainan, dan merasakan pengalaman realistis dengan animasi dan kontrol yang lebih halus.
24;Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars;RPG;PS5;2025;Konami;Inggris, Jepang;Remaster dari dua game legendaris Suikoden yang menghadirkan grafis yang diperbarui, musik remaster, dan fitur gameplay tambahan. Pemain akan mengikuti kisah pahlawan muda yang memimpin pasukan dalam perang besar dan mengumpulkan 108 karakter legendaris.
25;PGA TOUR 2K25;Sports, Golf;PS5;2025;2K Sports;Inggris;Game simulasi golf realistis dengan berbagai lapangan resmi dari PGA Tour. Pemain dapat membuat karakter sendiri, meningkatkan keterampilan, dan berkompetisi dalam turnamen untuk menjadi juara golf terbaik di dunia.
26;Like a Dragon: Pirate Yakuza in Hawaii;Action, Adventure;PS5;2025;SEGA;Inggris, Jepang;Seri terbaru dari Like a Dragon yang membawa pemain ke petualangan baru di Hawaii. Dengan elemen dunia terbuka dan pertarungan khas Yakuza, pemain akan menjelajahi kota-kota tropis, menjalankan misi sampingan unik, dan menghadapi musuh dalam pertarungan berbasis aksi.
27;Age of Mythology: Retold;Strategy, Mythology;PS5;2025;Microsoft;Inggris;Remake dari game strategi klasik yang berlatar di dunia mitologi. Pemain bisa memimpin peradaban mitologis seperti Yunani, Mesir, dan Norse, menggunakan kekuatan dewa, serta bertarung dalam pertempuran skala besar untuk menguasai dunia.
28;Kingdom Come: Deliverance;RPG, Open World;PS5;2025;Warhorse Studios;Inggris;Game RPG dunia terbuka yang menghadirkan pengalaman realistis di abad pertengahan. Pemain akan berperan sebagai seorang petani yang harus bertahan hidup di dunia penuh konflik, menggunakan keterampilan bertarung dan diplomasi untuk menentukan nasibnya.
29;Two Point Museum;Simulation, Management;PS5;2025;SEGA;Inggris;Game simulasi di mana pemain membangun dan mengelola museum unik. Pemain bisa mendesain pameran, menarik pengunjung, mengatur keuangan, dan menciptakan museum impian dengan berbagai koleksi bersejarah atau fiksi.
30;Sugardew Island;Adventure, Simulation;PS5;2025;Belum Diketahui;Inggris;Game petualangan simulasi santai di pulau tropis yang menawarkan berbagai aktivitas seperti bertani, memancing, berinteraksi dengan penduduk, dan menjelajahi rahasia pulau yang tersembunyi.
31;Freedom Wars Remastered;RPG, Action;PS5, PC;9 Januari 2025;Sony Interactive Entertainment;Inggris;Remaster dari game klasik PS Vita yang berlatar di dunia futuristik di mana pemain harus berjuang untuk kebebasan mereka. Dengan grafis 4K dan gameplay yang ditingkatkan, pemain menghadapi misi-misi menantang untuk menyelamatkan warga yang diculik dan mengurangi hukuman mereka.
32;Dreaming Isles;Simulation, Farming;PS5, PC;13 Januari 2025;Indie Developer;Inggris;Game simulasi pertanian yang menenangkan di pulau terapung dengan grafis indah. Pemain dapat menanam tanaman, beternak hewan, dan berinteraksi dengan penduduk pulau lainnya.
33;Airborne Empire;Strategy, City-Building;PS5, PC;13 Januari 2025;Indie Developer;Inggris;Game strategi membangun kota di langit, di mana pemain harus mengelola sumber daya, membangun infrastruktur, dan mempertahankan kota terapung mereka dari ancaman eksternal.
34;Hyper Light Breaker;Action, Adventure;PS5, PC;14 Januari 2025;Heart Machine;Inggris;Sekuel dari Hyper Light Drifter yang menawarkan pengalaman co-op dengan dunia terbuka luas dan pertarungan intens. Pemain menjelajahi lingkungan yang berbahaya dan menghadapi musuh yang menantang.
35;Aloft;Simulation, Survival;PS5, PC;15 Januari 2025;Indie Developer;Inggris;Game bertahan hidup di pulau terapung di langit, di mana pemain harus mengumpulkan sumber daya, membangun tempat tinggal, dan menghadapi tantangan alam.
36;Assetto Corsa EVO;Racing, Simulation;PS5, PC;16 Januari 2025;Kunos Simulazioni;Inggris;Seri terbaru dari game balap realistis yang menawarkan pengalaman mengemudi mendalam dengan grafis yang lebih baik dan fisika kendaraan yang lebih akurat.
37;Mecha Break;Shooter, Mecha;PS5, Xbox Series X/S, PC;Musim Semi 2025;Amazing Seasun Games;Inggris, Jepang;Game shooter mecha yang menawarkan pertempuran tim online dengan berbagai mode permainan. Pemain dapat memilih dari berbagai kelas mecha dan berpartisipasi dalam pertempuran 3v3, 6v6, dan PvPvE.
38;Mandragora;RPG, Metroidvania;PS5, PS4, Xbox Series X/S, Xbox One, PC;2025;Primal Game Studio;Inggris;Game yang menggabungkan elemen metroidvania dan soulslike, menawarkan dunia gelap yang penuh tantangan dan musuh tangguh. Pemain menjelajahi lingkungan yang saling terhubung dan mengembangkan karakter mereka.
39;Nivalis;Simulation, Life;PS5, PS4, Xbox Series X/S, Xbox One, PC;2025;Ion Lands;Inggris;Game simulasi kehidupan di kota futuristik, di mana pemain dapat menjalankan bisnis, berinteraksi dengan karakter lain, dan menjelajahi dunia cyberpunk yang menawan.
40;Ratatan;Rhythm, Roguelike;PS5, PS4, Nintendo Switch, PC;2025;Ratata Arts;Inggris;Penerus spiritual dari Patapon yang menggabungkan elemen ritme dan roguelike. Pemain akan memimpin pasukan kecil melalui pertempuran yang disinkronkan dengan musik, menghadapi tantangan yang dihasilkan secara prosedural.
41;Final Fantasy VII;RPG;PlayStation, PC;31 Januari 1997;SquareSoft;Inggris, Jepang;Game RPG legendaris yang mengikuti perjalanan Cloud Strife dan kelompoknya dalam menggagalkan rencana jahat Shinra dan Sephiroth.
42;Metal Gear Solid;Action, Stealth;PlayStation;03-Sep-98;Konami;Inggris, Jepang;Game aksi-stealth yang mengikuti Solid Snake dalam misinya untuk menghentikan kelompok teroris FOXHOUND yang mengancam dunia dengan Metal Gear REX.
43;Resident Evil 2;Survival Horror;PlayStation, PC, Nintendo 64, Dreamcast;21 Januari 1998;Capcom;Inggris, Jepang;Kisah Leon S. Kennedy dan Claire Redfield dalam bertahan hidup dari serangan zombie di kota Raccoon yang telah terinfeksi virus mematikan.
44;Parasite Eve;Action RPG, Horror;PlayStation;29 Maret 1998;SquareSoft;Inggris, Jepang;Menggabungkan elemen RPG dan survival horror, game ini mengikuti petualangan Aya Brea, seorang polisi yang menghadapi makhluk mutasi di kota New York.
45;MediEvil;Action, Adventure;PlayStation;9 Oktober 1998;Sony Computer Entertainment;Inggris;Game aksi-petualangan yang mengikuti perjalanan Sir Daniel Fortesque, seorang ksatria yang bangkit dari kematian untuk mengalahkan penyihir jahat Zarok.
46;Chrono Cross;RPG;PlayStation;18-Nov-99;SquareSoft;Inggris, Jepang;RPG dengan sistem dimensi paralel yang mengikuti perjalanan Serge dalam mengungkap rahasia dunianya dan nasib yang mengikatnya dengan seorang gadis misterius.
47;Tony Hawk's Pro Skater;Sports;PlayStation, N64, Dreamcast, PC;29-Sep-99;Activision;Inggris;Game skateboard yang memungkinkan pemain mengendalikan skateboarder profesional dan melakukan trik-trik luar biasa di berbagai level menantang.
48;Fear Effect;Action, Adventure;PlayStation;31 Maret 2000;Eidos Interactive;Inggris;Game aksi-petualangan dengan gaya sinematik dan grafis cel-shaded, mengikuti perjalanan Hana Tsu-Vachel dalam dunia kriminal penuh intrik dan misteri.
49;Bushido Blade;Fighting, Action;PlayStation;14 Maret 1997;SquareSoft;Inggris, Jepang;Game pertarungan unik tanpa health bar, di mana pertarungan bisa berakhir dalam satu tebasan jika pemain berhasil menyerang titik vital lawan.
50;Ape Escape;Platformer, Action;PlayStation;31 Mei 1999;Sony Computer Entertainment;Inggris, Jepang;Game pertama yang menggunakan DualShock sebagai kontrol utama, di mana pemain menangkap monyet-monyet liar menggunakan berbagai alat unik.
51;Suikoden II;RPG;PlayStation;17 Desember 1998;Konami;Inggris, Jepang;RPG klasik yang mengikuti kisah persahabatan dan pengkhianatan di tengah perang antara dua kerajaan, dengan lebih dari 100 karakter yang bisa direkrut.
52;Castlevania: Symphony of the Night;Metroidvania, Action;PlayStation, Sega Saturn;20 Maret 1997;Konami;Inggris, Jepang;Alucard, putra Dracula, menjelajahi kastil ayahnya yang penuh dengan monster dan rahasia dalam salah satu game Metroidvania terbaik sepanjang masa.
53;Vagrant Story;RPG, Action;PlayStation;10 Februari 2000;SquareSoft;Inggris, Jepang;Game action RPG yang mengikuti kisah Ashley Riot, seorang agen elit yang menyelidiki kerajaan misterius Leá Monde dan menghadapi konspirasi besar.
54;Gran Turismo 2;Racing, Simulation;PlayStation;11 Desember 1999;Sony Computer Entertainment;Inggris, Jepang;Game balapan realistis dengan ratusan mobil dan trek, serta mode simulasi yang menawarkan pengalaman berkendara mendalam dan berbagai tantangan.
55;Crash Team Racing;Racing, Arcade;PlayStation;30-Sep-99;Naughty Dog;Inggris;Game balapan kart yang menampilkan karakter dari dunia Crash Bandicoot, dengan trek penuh jebakan dan item yang bisa digunakan untuk mengalahkan lawan.
56;Ehrgeiz: God Bless the Ring;Fighting, Action;PlayStation;17 Desember 1998;SquareSoft;Inggris, Jepang;Game pertarungan 3D yang menampilkan karakter dari Final Fantasy VII serta mode RPG petualangan tambahan.
57;Ridge Racer Type 4;Racing;PlayStation;3 Desember 1998;Namco;Inggris, Jepang;Game balap arcade yang menghadirkan grafis lebih halus dan mode cerita yang memungkinkan pemain bergabung dengan berbagai tim balap.
58;Dino Crisis;Survival Horror, Action;PlayStation, Dreamcast, PC;1 Juli 1999;Capcom;Inggris, Jepang;Game survival horror dari pencipta Resident Evil, tetapi dengan dinosaurus sebagai musuh utama dalam lingkungan yang penuh teka-teki dan aksi mendebarkan.
59;Legacy of Kain: Soul Reaver;Action, Adventure;PlayStation, Dreamcast, PC;16 Agustus 1999;Eidos Interactive;Inggris;Pemain mengendalikan Raziel, seorang vampir yang dibangkitkan sebagai wraith, dalam perjalanan balas dendam melawan mantan tuannya, Kain.
60;Wild Arms;RPG;PlayStation;20 Desember 1996;Sony Computer Entertainment;Inggris, Jepang;RPG dengan tema koboi dan dunia futuristik yang mengikuti sekelompok petualang dalam menyelamatkan dunia Filgaia dari ancaman kuno.
61;Tenchu: Stealth Assassins;Stealth, Action;PlayStation;26 Februari 1998;Sony Music Entertainment;Inggris, Jepang;Game stealth ninja yang memungkinkan pemain menjalankan misi sebagai Rikimaru atau Ayame dalam dunia Jepang feodal yang berbahaya.
62;Digimon World;RPG, Simulation;PlayStation;28 Januari 1999;Bandai;Inggris, Jepang;Game simulasi dan RPG di mana pemain membesarkan Digimon mereka, melatihnya, dan bertarung untuk menyelamatkan Digital World dari ancaman jahat.
63;Spider-Man;Action, Adventure;PlayStation;30 Agustus 2000;Activision;Inggris;Game aksi yang memungkinkan pemain mengendalikan Spider-Man dalam menjelajahi kota, melawan musuh ikonik, dan menghentikan berbagai kejahatan.
64;The Misadventures of Tron Bonne;Action, Puzzle;PlayStation;30 Juli 1999;Capcom;Inggris, Jepang;Spin-off dari seri Mega Man Legends yang mengikuti Tron Bonne dalam petualangan unik sebagai pencuri dan pemimpin kelompok robot kecil, Servbots.
65;Alundra;RPG, Action;PlayStation;11-Apr-97;Sony Computer Entertainment;Inggris, Jepang;RPG aksi dengan elemen puzzle yang mengikuti perjalanan Alundra, seorang pemimpi yang bisa memasuki mimpi orang lain dan harus menghentikan mimpi buruk misterius.
66;Legend of Legaia;RPG;PlayStation;29 Oktober 1998;Sony Computer Entertainment;Inggris, Jepang;RPG klasik yang mengikuti perjalanan tiga pahlawan dalam menyelamatkan dunia dari kabut misterius yang mengubah makhluk menjadi monster jahat.
67;Pepsiman;Action, Runner;PlayStation;4 Maret 1999;Kid, Inc.;Jepang;Game aksi unik di mana pemain mengendalikan Pepsiman, maskot Pepsi, berlari melewati berbagai rintangan untuk mengantarkan minuman kepada orang yang haus.
68;Klonoa: Door to Phantomile;Platformer, Adventure;PlayStation;11 Desember 1997;Namco;Inggris, Jepang;Game platformer dengan elemen 2.5D yang mengikuti perjalanan Klonoa dan temannya Huepow dalam menyelamatkan dunia Phantomile dari mimpi buruk.
69;Gex: Enter the Gecko;Platformer, Action;PlayStation, N64, PC;24 Februari 1998;Midway, Crystal Dynamics;Inggris;Game platformer 3D di mana pemain mengendalikan Gex, seekor tokek humoris, dalam menjelajahi dunia bertema televisi yang penuh referensi budaya pop.
70;Tomba! 2: The Evil Swine Return;Platformer, Adventure;PlayStation;28 Oktober 1999;Whoopee Camp;Inggris, Jepang;Sekuel dari Tomba!, di mana pemain kembali mengendalikan Tomba dalam petualangan melawan babi jahat untuk menyelamatkan teman masa kecilnya.
71;Xenogears;RPG;PlayStation;11 Februari 1998;SquareSoft;Inggris, Jepang;RPG epik dengan cerita filosofis yang dalam, mengikuti perjalanan Fei Fong Wong dalam mengungkap rahasia dunianya dan menghadapi konflik antara manusia dan mesin.
72;Vigilante 8;Vehicular Combat;PlayStation, N64, Dreamcast;2 Juni 1998;Activision;Inggris;Game pertempuran kendaraan dengan aksi eksplosif, di mana pemain bertarung menggunakan berbagai mobil yang dilengkapi senjata berat.
73;Rival Schools: United by Fate;Fighting;PlayStation, Arcade;30 Oktober 1997;Capcom;Inggris, Jepang;Game pertarungan unik dengan karakter yang berasal dari berbagai sekolah menengah di Jepang, masing-masing memiliki gaya bertarung khas.
74;Driver;Racing, Action;PlayStation, PC;25 Juni 1999;GT Interactive;Inggris;Game balapan aksi di mana pemain berperan sebagai Tanner, seorang polisi yang menyamar sebagai sopir bagi kelompok kriminal untuk mengungkap jaringan mereka.
75;Breath of Fire IV;RPG;PlayStation, PC;10-Apr-00;Capcom;Inggris, Jepang;Game RPG yang mengikuti perjalanan Ryu, seorang pemuda dengan kemampuan berubah menjadi naga, dalam menyelamatkan dunia dari perang dan kekuatan jahat.
76;Dino Crisis 2;Survival Horror, Action;PlayStation;13-Sep-00;Capcom;Inggris, Jepang;Sekuel dari Dino Crisis yang lebih berfokus pada aksi, di mana pemain menghadapi gerombolan dinosaurus dengan berbagai senjata di dunia yang penuh ketegangan.
77;Fighting Force;Beat 'em Up, Action;PlayStation, PC;10 Oktober 1997;Core Design;Inggris;Game beat 'em up 3D yang memungkinkan pemain bertarung melawan musuh menggunakan berbagai serangan dan senjata di lingkungan interaktif.
78;Rayman 2: The Great Escape;Platformer, Adventure;PlayStation, N64, PC, Dreamcast;29 Oktober 1999;Ubisoft;Inggris, Jepang;Game platformer 3D di mana Rayman harus menyelamatkan teman-temannya dan menghentikan pasukan robot bajak laut yang menguasai dunianya.
79;Tony Hawk's Pro Skater 2;Sports, Skateboarding;PlayStation, N64, PC, Dreamcast;20-Sep-00;Activision;Inggris;Sekuel dari game skateboard populer yang menawarkan kontrol yang lebih halus, trik baru, dan mode pembuatan taman skate sendiri.
80;Silent Bomber;Action, Shooter;PlayStation;22 Juli 1999;Bandai;Inggris, Jepang;Game aksi dengan mekanik unik di mana pemain menggunakan bom untuk menyerang musuh dan menyelesaikan berbagai misi penuh tantangan.
81;Marvel vs. Capcom: Clash of Super Heroes;Fighting;PlayStation, Arcade, Dreamcast;23-Sep-98;Capcom;Inggris, Jepang;Game pertarungan crossover yang menggabungkan karakter dari dunia Marvel dan Capcom dalam pertempuran cepat dan penuh aksi.
82;Soul Reaver 2;Action, Adventure;PlayStation, Dreamcast, PC;20 Oktober 2000;Eidos Interactive;Inggris;Sekuel dari Legacy of Kain: Soul Reaver yang mengikuti Raziel dalam perjalanannya melintasi waktu untuk mengungkap kebenaran tentang takdirnya.
83;Future Cop: LAPD;Shooter, Action;PlayStation, PC;31 Agustus 1998;Electronic Arts;Inggris;Game aksi yang memungkinkan pemain mengendalikan robot polisi LAPD masa depan yang bisa berubah menjadi mobil dan bertarung melawan penjahat di kota futuristik.
84;Crash Bash;Party, Minigames;PlayStation;06-Nov-00;Sony Computer Entertainment;Inggris;Game party berbasis minigame dalam dunia Crash Bandicoot, di mana pemain dapat bersaing dalam berbagai tantangan yang seru dan kompetitif.
85;Tenchu 2: Birth of the Stealth Assassins;Stealth, Action;PlayStation;30 Agustus 2000;Sony Computer Entertainment;Inggris, Jepang;Sekuel dari Tenchu yang mengisahkan masa lalu Rikimaru dan Ayame dalam menghadapi ancaman baru di dunia ninja yang penuh intrik dan strategi stealth.
86;Front Mission 3;Tactical RPG;PlayStation;09-Sep-99;SquareSoft;Inggris, Jepang;Game strategi berbasis giliran yang berlatar masa depan dengan pertempuran antar mech (Wanzer) dalam konflik politik dan militer yang kompleks.
87;Rollcage;Racing, Combat;PlayStation, PC;20 Oktober 1999;Psygnosis;Inggris;Game balapan futuristik di mana kendaraan dapat melaju di dinding dan atap, dengan elemen pertempuran menggunakan senjata yang tersedia di lintasan.
88;Bust-A-Groove;Rhythm, Dance;PlayStation;17-Sep-98;Enix;Inggris, Jepang;Game ritme yang menggabungkan elemen pertarungan dansa, di mana pemain harus mengikuti irama dan mengeksekusi gerakan untuk mengalahkan lawan.
89;Omega Boost;Shooter, Mecha;PlayStation;10 Juni 1999;Sony Computer Entertainment;Inggris, Jepang;Game aksi shooter dengan pertempuran luar angkasa menggunakan mecha canggih, dengan efek visual spektakuler dan gameplay cepat.
90;Loaded;Top-Down Shooter;PlayStation, Sega Saturn;13 Desember 1995;Gremlin Interactive;Inggris;Game aksi penembak brutal dengan sudut pandang atas, menampilkan karakter unik yang melawan musuh dengan berbagai senjata dalam dunia penuh kekacauan.
91;Koudelka;RPG, Horror;PlayStation;16 Desember 1999;SNK;Inggris, Jepang;RPG horor dengan elemen taktik, yang mengikuti perjalanan Koudelka, seorang wanita dengan kemampuan supranatural, di dalam biara yang dihantui rahasia gelap.
92;Blaster Master: Blasting Again;Action, Metroidvania;PlayStation;15-Nov-00;Sunsoft;Inggris, Jepang;Sekuel dari Blaster Master yang menghadirkan eksplorasi dunia bawah tanah dengan kendaraan tempur Sophia dan pertarungan bos yang menantang.
93;Incredible Crisis;Puzzle, Minigames;PlayStation;18-Nov-99;Titus;Inggris, Jepang;Game unik yang mengisahkan keseharian sebuah keluarga Jepang dalam menghadapi serangkaian kejadian aneh melalui berbagai minigame yang kocak dan mendebarkan.
94;Final Fantasy X;RPG;PlayStation 2;19 Juli 2001;SquareSoft;Inggris, Jepang;Mengisahkan perjalanan Tidus dan Yuna dalam menghentikan ancaman Sin di dunia Spira dengan sistem pertarungan berbasis giliran yang inovatif.
95;Devil May Cry;Action, Hack and Slash;PlayStation 2;23 Agustus 2001;Capcom;Inggris, Jepang;Game aksi cepat di mana pemain mengendalikan Dante, seorang pemburu iblis, dalam pertempuran intens dengan berbagai senjata dan kemampuan unik.
96;Jak and Daxter: The Precursor Legacy;Platformer, Adventure;PlayStation 2;3 Desember 2001;Sony Computer Entertainment;Inggris;Game platformer petualangan yang mengikuti Jak dan sahabatnya, Daxter, dalam eksplorasi dunia yang penuh misteri dan tantangan.
97;Silent Hill 2;Survival Horror;PlayStation 2, Xbox, PC;24-Sep-01;Konami;Inggris, Jepang;James Sunderland mencari istrinya di kota Silent Hill yang penuh dengan kegelapan dan makhluk mengerikan dalam cerita psikologis yang mendalam.
98;Onimusha: Warlords;Action, Adventure;PlayStation 2;25 Januari 2001;Capcom;Inggris, Jepang;Game aksi samurai di mana pemain mengendalikan Samanosuke dalam pertempuran melawan iblis untuk menyelamatkan seorang putri.
99;Max Payne;Shooter, Action;PlayStation 2, Xbox, PC;23 Juli 2001;Rockstar Games;Inggris;"Sebuah kisah noir tentang seorang polisi yang membalas dendam setelah keluarganya dibunuh, dengan mekanik ""bullet time"" yang ikonik."
100;Kingdom Hearts;Action RPG;PlayStation 2;28 Maret 2002;Square Enix;Inggris, Jepang;Petualangan Sora dalam dunia Disney dan Final Fantasy untuk menyelamatkan teman-temannya dari kegelapan dengan bantuan Donald dan Goofy.
101;Ratchet & Clank;Platformer, Shooter;PlayStation 2;04-Nov-02;Sony Computer Entertainment;Inggris;Game aksi-platformer yang mengikuti perjalanan Ratchet dan robot sahabatnya, Clank, dalam menyelamatkan galaksi dari ancaman besar.
102;TimeSplitters 2;First-Person Shooter;PlayStation 2, Xbox, GameCube;9 Oktober 2002;Eidos Interactive;Inggris;Game FPS dengan perjalanan waktu, memungkinkan pemain bertarung di berbagai era sejarah melawan musuh yang unik.
103;Fatal Frame;Survival Horror;PlayStation 2, Xbox;13 Desember 2001;Tecmo;Inggris, Jepang;Game horor di mana pemain menggunakan kamera khusus untuk melawan hantu yang menghantui sebuah rumah misterius.
104;SOCOM U.S. Navy SEALs;Tactical Shooter;PlayStation 2;27 Agustus 2002;Sony Computer Entertainment;Inggris;Pemain memimpin pasukan elit SEAL dalam berbagai misi rahasia global yang menuntut strategi, koordinasi, dan ketepatan dalam eksekusi.
105;Virtua Fighter 4;Fighting;PlayStation 2, Arcade;8 Agustus 2002;Sega;Inggris, Jepang;Game pertarungan 3D dengan sistem pertarungan realistis dan karakter-karakter dengan gaya bela diri unik.
106;Red Faction;First-Person Shooter;PlayStation 2, PC;22 Mei 2001;THQ;Inggris;Berlatar di Mars, pemain berperan sebagai penambang yang memberontak melawan perusahaan penindas menggunakan senjata dan lingkungan yang dapat dihancurkan.
107;Burnout;Racing;PlayStation 2, GameCube, Xbox;01-Nov-01;Acclaim Entertainment;Inggris;Game balap penuh aksi dengan penekanan pada kecepatan tinggi dan tabrakan spektakuler.
108;Twisted Metal: Black;Vehicular Combat;PlayStation 2;18 Juni 2001;Sony Computer Entertainment;Inggris;Pemain mengendalikan kendaraan bersenjata dalam turnamen mematikan untuk bertahan hidup dan mengungkap kisah karakter-karakter kelam.
109;The Bouncer;Beat 'em up;PlayStation 2;26 Desember 2000 (JP), 2001 (WW);SquareSoft;Inggris, Jepang;Game aksi sinematik di mana tiga penjaga klub malam menghadapi organisasi jahat untuk menyelamatkan teman mereka.
110;Baldur's Gate: Dark Alliance;Action RPG;PlayStation 2, Xbox;2 Desember 2001;Interplay Entertainment;Inggris;RPG aksi berlatar dunia Dungeons & Dragons dengan mode kooperatif dan pertarungan real-time yang intens.
111;SSX Tricky;Sports (Snowboarding);PlayStation 2, GameCube, Xbox;05-Nov-01;EA Sports BIG;Inggris;Game seluncur salju bergaya arcade dengan karakter penuh gaya dan trik-trik ekstrem di berbagai lintasan menantang.
112;Star Wars: Jedi Starfighter;Flight Combat;PlayStation 2, Xbox;10 Maret 2002;LucasArts;Inggris;Pemain mengendalikan pesawat tempur dalam konflik galaksi sebelum Perang Klon dengan misi berbasis cerita.
113;Rayman Arena;Platformer, Racing;PlayStation 2, GameCube, Xbox;25-Nov-02;Ubisoft;Inggris;Game balap dan pertarungan multiplayer yang menampilkan karakter Rayman dan kawan-kawannya dalam berbagai mode kompetitif.
